"","date","depth","mean_do"
"575",2020-01-14,8.5,9.39576041775
"576",2020-01-14,9,9.7642916685
"577",2020-01-14,9.5,10.13282291925
"578",2020-01-14,10,10.50135417
"579",2020-01-14,10.5,10.15163541925
"580",2020-01-14,11,9.8019166685
"581",2020-01-14,11.5,9.45219791775
"582",2020-01-14,12,9.102479167
"583",2020-01-14,12.5,9.28420312525
"584",2020-01-14,13,9.4659270835
"585",2020-01-14,13.5,9.64765104175
"586",2020-01-14,14,9.829375
"587",2020-01-14,14.5,9.66777083325
"588",2020-01-14,15,9.5061666665
"589",2020-01-14,15.5,9.34456249975
"590",2020-01-14,16,9.182958333
"591",2020-01-14,16.5,8.713958333
"592",2020-01-14,17,8.244958333
"593",2020-01-14,17.5,7.775958333
"594",2020-01-14,18,7.306958333
"595",2020-01-14,18.5,6.850190104
"596",2020-01-14,19,6.393421875
"597",2020-01-14,19.5,5.936653646
"598",2020-01-14,20,5.479885417
"599",2020-01-14,20.5,4.12581250025
"600",2020-01-14,21,2.7717395835
"601",2020-01-14,21.5,1.41766666675
"602",2020-01-14,22,0.06359375
"603",2020-01-15,1,11.1592592592593
"604",2020-01-15,1.5,10.9540740740741
"605",2020-01-15,2,10.7488888888889
"606",2020-01-15,2.5,10.6457330246481
"607",2020-01-15,3,10.5425771604074
"608",2020-01-15,3.5,10.4394212961667
"609",2020-01-15,4,10.21876042
"610",2020-01-15,4.5,10.3081848975
"611",2020-01-15,5,10.397609375
"612",2020-01-15,5.5,10.4870338525
"613",2020-01-15,6,10.57645833
"614",2020-01-15,6.5,10.2758593725
"615",2020-01-15,7,9.975260415
"616",2020-01-15,7.5,9.6746614575
"617",2020-01-15,8,9.3740625
"618",2020-01-15,8.5,9.6605989575
"619",2020-01-15,9,9.947135415
"620",2020-01-15,9.5,10.2336718725
"621",2020-01-15,10,10.52020833
"622",2020-01-15,10.5,10.269804685
"623",2020-01-15,11,10.01940104
"624",2020-01-15,11.5,9.768997395
"625",2020-01-15,12,9.51859375
"626",2020-01-15,12.5,9.58618489575
"627",2020-01-15,13,9.6537760415
"628",2020-01-15,13.5,9.72136718725
"629",2020-01-15,14,9.788958333
"630",2020-01-15,14.5,9.579580729
"631",2020-01-15,15,9.370203125
"632",2020-01-15,15.5,9.160825521
"633",2020-01-15,16,8.951447917
"634",2020-01-15,16.5,8.52782812525
"635",2020-01-15,17,8.1042083335
"636",2020-01-15,17.5,7.68058854175
"637",2020-01-15,18,7.25696875
"638",2020-01-15,18.5,6.85986458325
"639",2020-01-15,19,6.4627604165
"640",2020-01-15,19.5,6.06565624975
"641",2020-01-15,20,5.668552083
"642",2020-01-15,20.5,4.267361979
"643",2020-01-15,21,2.866171875
"644",2020-01-15,21.5,1.464981771
"645",2020-01-15,22,0.063791667
"646",2020-01-16,1,11.1277777777778
"647",2020-01-16,1.5,10.9222222222222
"648",2020-01-16,2,10.7166666666667
"649",2020-01-16,2.5,10.6117876156944
"650",2020-01-16,3,10.5069085647222
"651",2020-01-16,3.5,10.40202951375
"652",2020-01-16,4,10.120875
"653",2020-01-16,4.5,10.2263072925
"654",2020-01-16,5,10.331739585
"655",2020-01-16,5.5,10.4371718775
"656",2020-01-16,6,10.54260417
"657",2020-01-16,6.5,10.12437239825
"658",2020-01-16,7,9.7061406265
"659",2020-01-16,7.5,9.28790885475
"660",2020-01-16,8,8.869677083
"661",2020-01-16,8.5,9.25280468725
"662",2020-01-16,9,9.6359322915
"663",2020-01-16,9.5,10.01905989575
"664",2020-01-16,10,10.4021875
"665",2020-01-16,10.5,10.07682552075
"666",2020-01-16,11,9.7514635415
"667",2020-01-16,11.5,9.42610156225
"668",2020-01-16,12,9.100739583
"669",2020-01-16,12.5,9.24953906225
"670",2020-01-16,13,9.3983385415
"671",2020-01-16,13.5,9.54713802075
"672",2020-01-16,14,9.6959375
